Zeit;Kanal A
(ms);(mV)

-25,00999905;-2,25701261
-25,00499905;-2,63348913
-24,99999905;-3,57344961
-24,99499905;-3,38582659
-24,98999905;-3,94992590
-24,98499905;-3,19758844
-24,97999905;-3,19758844
-24,97499905;-3,19758844
-24,96999905;-3,00935030
-24,96499905;-1,88053632
-24,95999905;-1,88053632
-24,95499905;-1,50467515
-24,94999905;-0,75233757
-24,94499905;-0,37586120
-24,93999905;-0,93996060
-24,93499905;0,00000000
-24,92999905;-0,75233757
-24,92499905;0,18762302
-24,91999905;-0,93996060
-24,91499905;0,18762302
-24,90999905;-0,75233757
-24,90499905;-1,12819874
-24,89999905;-1,69291329
-24,89499905;-1,31643701
-24,88999905;-2,82111216
-24,88499905;-1,69291329
-24,87999905;-2,44525075
-24,87499906;-2,63348913
-24,86999906;-3,00935030
-24,86499906;-2,44525075
-24,85999906;-3,57344961
-24,85499906;-3,00935030
-24,84999906;-2,63348913
-24,84499906;-2,44525075
-24,83999906;-2,25701261
-24,83499906;-1,88053632
-24,82999906;-2,44525075
-24,82499906;-0,37586120
-24,81999906;-1,69291329
-24,81499906;0,00000000
-24,80999906;-1,12819874
-24,80499906;-0,37586120
-24,79999906;-1,12819874
-24,79499906;-0,56409937
-24,78999906;-1,69291329
-24,78499906;-0,56409937
-24,77999906;-0,93996060
-24,77499906;-1,12819874
-24,76999906;-1,31643701
-24,76499906;-0,93996060
-24,75999906;-1,88053632
-24,75499906;-1,12819874
-24,74999906;-0,37586120
-24,74499906;-1,12819874
-24,73999906;0,00000000
-24,73499906;-0,18762302
-24,72999906;0,00000000
-24,72499906;0,56409937
-24,71999906;0,93996060
-24,71499906;1,50467515
-24,70999906;1,12819874
-24,70499906;1,50467515
-24,69999906;2,06877446
-24,69499906;1,88053632
-24,68999906;2,82111216
-24,68499906;2,25701261
-24,67999906;2,82111216
-24,67499906;2,44525075
-24,66999906;2,82111216
-24,66499906;2,25701261
-24,65999906;3,00935030
-24,65499906;2,82111216
-24,64999906;2,82111216
-24,64499906;3,00935030
